_id,password,yearAd,isScholarship,rollNo,dept,bankAC,classYear,yearPass,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8
P914425,Sarang ,2011,yes,1234,Mechanical,6547,Alumini,2014,50,50,50,50,50,50,50,50
P914426,Ajinkya ,2011,no,4567,Mechanical,1234,Alumini,2014,70,70,70,70,70,70,70,70
P914427,Darshan ,2011,yes,1478,Mechanical,4567,Alumini,2014,65,65,65,65,65,65,65,65
P914428,Santosh ,2011,yes,7412,Mechanical,1478,Alumini,2014,72,72,72,72,72,72,72,72
P914429,Harshal ,2011,no,1478,Mechanical,7412,Alumini,2014,60,60,60,60,60,60,60,60
P914430,Pradeep ,2011,yes,7463,Mechanical,1478,Alumini,2014,65,65,65,65,65,65,65,65
P914431,Ajay ,2011,no,6547,Mechanical,7463,Alumini,2014,70,70,70,70,70,70,70,70
P914432,Tejas ,2011,yes,1234,Mechanical,6547,Alumini,2014,50,50,50,50,50,50,50,50
P914433,Mohit ,2011,no,1478,Mechanical,1234,Alumini,2014,70,70,70,70,70,70,70,70
P914434,Tejas ,2011,yes,7463,Mechanical,1478,Alumini,2014,65,65,65,65,65,65,65,65
P814435,Shreya ,2011,yes,6547,Electrical,7463,Alumini,2014,72,72,72,72,72,72,72,72
P814436,Meenal ,2011,no,1234,Electrical,6547,Alumini,2014,60,60,60,60,60,60,60,60
P814437,Deepika ,2011,yes,4567,Electrical,1234,Alumini,2014,65,65,65,65,65,65,65,65
P814438,Tejashree ,2011,no,1478,Electrical,4567,Alumini,2014,70,70,70,70,70,70,70,70
P814439,Saurabh ,2011,yes,7412,Electrical,1478,Alumini,2014,50,50,50,50,50,50,50,50
P814440,Akash ,2011,no,1478,Electrical,7412,Alumini,2014,70,70,70,70,70,70,70,70
P814441,Ashwini ,2011,yes,7463,Electrical,1478,Alumini,2014,65,65,65,65,65,65,65,65
P814442,Vikas ,2011,yes,6547,Electrical,7463,Alumini,2014,72,72,72,72,72,72,72,72
P814443,Nipun ,2011,no,1234,Electrical,6547,Alumini,2014,70,70,70,70,70,70,70,70
P814444,Mukta ,2011,yes,4567,Electrical,1234,Alumini,2014,50,50,50,50,50,50,50,50
P814445,Rashmi ,2011,no,1478,Electrical,4567,Alumini,2014,70,70,70,70,70,70,70,70
P814446,Supriya ,2011,yes,7412,Electrical,1478,Alumini,2014,65,65,65,65,65,65,65,65
P814447,Ashish ,2011,no,1478,Electrical,7412,Alumini,2014,72,72,72,72,72,72,72,72
P814448,Anish ,2011,yes,7463,Electrical,1478,Alumini,2014,60,60,60,60,60,60,60,60
P814449,Sandeep ,2011,yes,6547,Electrical,7463,Alumini,2014,65,65,65,65,65,65,65,65
P814450,Pawan ,2011,no,1234,Electrical,6547,Alumini,2014,70,70,70,70,70,70,70,70
P814451,Bhushan,2011,yes,4567,Electrical,1234,Alumini,2014,50,50,50,50,50,50,50,50
P814452,Pranav ,2011,no,1478,Electrical,4567,Alumini,2014,70,70,70,70,70,70,70,70
P814453,Vishal ,2011,yes,7412,EnTC,1478,Alumini,2014,65,65,65,65,65,65,65,65
P814454,Ashutosh ,2011,no,1478,EnTC,7412,Alumini,2014,72,72,72,72,72,72,72,72
P714455,Meghadoot ,2011,yes,7463,EnTC,1478,Alumini,2014,60,60,60,60,60,60,60,60
P714456,Ajinkya ,2011,yes,6547,EnTC,7463,Alumini,2014,65,65,65,65,65,65,65,65
P714457,Aditi,2011,yes,7412,EnTC,6547,Alumini,2014,70,70,70,70,70,70,70,70
P714458,Snehal,2011,yes,1478,EnTC,7412,Alumini,2014,50,50,50,50,50,50,50,50
P714459,Madhuri ,2011,no,7463,EnTC,1478,Alumini,2014,70,70,70,70,70,70,70,70
P714460,Abhijit ,2011,yes,6547,EnTC,7463,Alumini,2014,50,50,50,50,50,50,50,50
P714461,Saurabh,2011,no,1234,EnTC,6547,Alumini,2014,70,70,70,70,70,70,70,70
P714462,Jaideep ,2011,yes,4567,EnTC,1234,Alumini,2014,65,65,65,65,65,65,65,65
P714463,Shreya,2011,no,1478,EnTC,4567,Alumini,2014,72,72,72,72,72,72,72,72
P714464,Viju ,2011,yes,7412,EnTC,1478,Alumini,2014,60,60,60,60,60,60,60,60
P714465,Nishant ,2011,yes,1478,EnTC,7412,Alumini,2014,65,65,65,65,65,65,65,65
P714466,Pranav ,2011,no,7463,EnTC,1478,Alumini,2014,70,70,70,70,70,70,70,70
P714467,Bhushan ,2011,yes,6547,EnTC,7463,Alumini,2014,50,50,50,50,50,50,50,50
P714468,Pinakin ,2011,no,1234,EnTC,6547,Alumini,2014,70,70,70,70,70,70,70,70
P714469,abhishek ,2011,yes,1478,EnTC,1234,Alumini,2014,65,65,65,65,65,65,65,65
P714470,Shweta ,2011,no,7463,EnTC,1478,Alumini,2014,72,72,72,72,72,72,72,72
P714471,shreya ,2011,yes,6547,EnTC,7463,Alumini,2014,60,60,60,60,60,60,60,60
P714472,Rathin ,2011,no,1234,EnTC,6547,Alumini,2014,65,65,65,65,65,65,65,65
P714473,Anuja ,2011,yes,4567,EnTC,1234,Alumini,2014,70,70,70,70,70,70,70,70
P714474,Aboli ,2011,no,1478,EnTC,4567,Alumini,2014,50,50,50,50,50,50,50,50
P714475,Komal,2011,yes,7412,EnTC,1478,Alumini,2014,70,70,70,70,70,70,70,70
P714476,Prachi ,2011,yes,1234,EnTC,7412,Alumini,2014,65,65,65,65,65,65,65,65
P714477,Jayesh ,2011,no,4567,EnTC,1234,Alumini,2014,72,72,72,72,72,72,72,72
P714478,Swapnil,2011,yes,1478,EnTC,4567,Alumini,2014,70,70,70,70,70,70,70,70
P714479,Bhushan ,2011,no,7412,EnTC,1478,Alumini,2014,50,50,50,50,50,50,50,50
P714480,Bhushan ,2011,yes,1478,EnTC,7412,Alumini,2014,70,70,70,70,70,70,70,70
P714481,Priyanka ,2011,no,7463,EnTC,1478,Alumini,2014,50,50,50,50,50,50,50,50
P714482,Bhavin ,2011,yes,6547,EnTC,7463,Alumini,2014,70,70,70,70,70,70,70,70
P714483,Anuja ,2011,yes,1234,EnTC,6547,Alumini,2014,65,65,65,65,65,65,65,65
P714484,Pranav ,2011,no,4567,EnTC,1234,Alumini,2014,72,72,72,72,72,72,72,72
P714485,Ruchika ,2011,yes,1478,EnTC,4567,Alumini,2014,60,60,60,60,60,60,60,60
P714486,Harsha ,2011,no,7412,EnTC,1478,Alumini,2014,65,65,65,65,65,65,65,65
P714487,Nikhil ,2011,yes,1478,EnTC,7412,Alumini,2014,70,70,70,70,70,70,70,70
P714488,Soham ,2011,no,7463,EnTC,1478,Alumini,2014,50,50,50,50,50,50,50,50
P714489,Rajesh ,2011,yes,6547,EnTC,7463,Alumini,2014,70,70,70,70,70,70,70,70
P714490,Akash,2011,yes,1234,EnTC,6547,Alumini,2014,65,65,65,65,65,65,65,65
P714491,Nutan ,2011,no,4567,EnTC,1234,Alumini,2014,72,72,72,72,72,72,72,72
P714492,Prachi ,2011,yes,1478,EnTC,4567,Alumini,2014,70,70,70,70,70,70,70,70
P714493,Swarali ,2011,no,7412,EnTC,1478,Alumini,2014,50,50,50,50,50,50,50,50
P714494,Aniket ,2011,yes,1478,EnTC,7412,Alumini,2014,70,70,70,70,70,70,70,70
P714495,Shrikant ,2011,no,7463,EnTC,1478,Alumini,2014,65,65,65,65,65,65,65,65
P714496,Ashutosh ,2011,yes,6547,EnTC,7463,Alumini,2014,72,72,72,72,72,72,72,72
P714497,Ajinkya ,2011,yes,1234,EnTC,6547,Alumini,2014,60,60,60,60,60,60,60,60
P714498,Manjiri ,2011,no,4567,EnTC,1234,Alumini,2014,65,65,65,65,65,65,65,65
P714499,Abhishek,2011,yes,1478,EnTC,4567,Alumini,2014,70,70,70,70,70,70,70,70
P7144100,Yogesh ,2011,no,7412,EnTC,1478,Alumini,2014,70,70,70,70,70,70,70,70
P7144101,Aditya ,2011,yes,1478,EnTC,7412,Alumini,2014,65,65,65,65,65,65,65,65
P7144102,Shrikant,2011,no,7463,EnTC,1478,Alumini,2014,72,72,72,72,72,72,72,72
P7144103,Sarang ,2011,yes,6547,EnTC,7463,Alumini,2014,60,60,60,60,60,60,60,60
P7144104,Abhijeet ,2011,yes,7412,EnTC,6547,Alumini,2014,65,65,65,65,65,65,65,65
P7144105,Swarali ,2011,no,1478,EnTC,7412,Alumini,2014,70,70,70,70,70,70,70,70
P7144106,Neelam ,2011,yes,7463,EnTC,1478,Alumini,2014,50,50,50,50,50,50,50,50
P6144107,Swapnil ,2011,no,6547,EnTC,7463,Alumini,2014,70,70,70,70,70,70,70,70
P6144108,Omkar ,2011,yes,1234,IT,6547,Alumini,2014,65,65,65,65,65,65,65,65
P6144109,Shriya ,2011,no,4567,IT,1234,Alumini,2014,72,72,72,72,72,72,72,72
P6144110,Kajal ,2011,yes,1478,IT,4567,Alumini,2014,60,60,60,60,60,60,60,60
P6144111,Loukik ,2011,yes,7412,IT,1478,Alumini,2014,65,65,65,65,65,65,65,65
P6144112,Akshay ,2011,no,1478,IT,7412,Alumini,2014,70,70,70,70,70,70,70,70
P6144113,Chinmay ,2011,yes,7463,IT,1478,Alumini,2014,50,50,50,50,50,50,50,50
P6144114,Hemant ,2011,no,6547,IT,7463,Alumini,2014,70,70,70,70,70,70,70,70
P6144115,Arundhati ,2011,yes,1234,IT,6547,Alumini,2014,65,65,65,65,65,65,65,65
P6144116,Ashish ,2011,no,1478,IT,1234,Alumini,2014,72,72,72,72,72,72,72,72
P6144117,Shweta ,2011,yes,7463,IT,1478,Alumini,2014,70,70,70,70,70,70,70,70
P6144118,Namratha ,2011,yes,6547,IT,7463,Alumini,2014,50,50,50,50,50,50,50,50
P6144119,Mahesh ,2011,no,1234,IT,6547,Alumini,2014,70,70,70,70,70,70,70,70
P6144120,Shivani ,2011,yes,4567,IT,1234,Alumini,2014,50,50,50,50,50,50,50,50
P6144121,Sneha,2011,no,1478,IT,4567,Alumini,2014,70,70,70,70,70,70,70,70
P6144122,Harshada ,2011,yes,7412,IT,1478,Alumini,2014,65,65,65,65,65,65,65,65
P6144123,Shivraj ,2011,no,1478,IT,7412,Alumini,2014,72,72,72,72,72,72,72,72
P6144124,Sumedh ,2011,yes,7463,IT,1478,Alumini,2014,60,60,60,60,60,60,60,60
P6144125,Aarohi ,2011,yes,6547,IT,7463,Alumini,2014,65,65,65,65,65,65,65,65
P6144126,Amruta ,2011,no,1234,IT,6547,Alumini,2014,70,70,70,70,70,70,70,70
P6144127,Sana ,2011,yes,4567,IT,1234,Alumini,2014,50,50,50,50,50,50,50,50
P6144128,Arvind,2011,no,1478,IT,4567,Alumini,2014,70,70,70,70,70,70,70,70
P6144129,Rutuja ,2011,yes,7412,IT,1478,Alumini,2014,65,65,65,65,65,65,65,65
P6144130,Shruti ,2011,no,1478,IT,7412,Alumini,2014,72,72,72,72,72,72,72,72
P5144131,Raunak ,2011,yes,7463,Computer,1478,Alumini,2014,70,70,70,70,70,70,70,70
P5144132,Parag ,2011,yes,6547,Computer,7463,Alumini,2014,50,50,50,50,50,50,50,50
P5144133,Apurva ,2011,yes,1234,Computer,6547,Alumini,2014,70,70,70,70,70,70,70,70
P5144134,Madhavi ,2011,yes,4567,Computer,1234,Alumini,2014,65,65,65,65,65,65,65,65
P5144135,Pooja ,2011,no,1478,Computer,4567,Alumini,2014,72,72,72,72,72,72,72,72
P5144136,Ruchi ,2011,yes,7412,Computer,1478,Alumini,2014,60,60,60,60,60,60,60,60
P5144137,Sanjyot ,2011,no,1478,Computer,7412,Alumini,2014,65,65,65,65,65,65,65,65
P5144138,Anuja ,2011,yes,7463,Computer,1478,Alumini,2014,70,70,70,70,70,70,70,70
P5144139,Surbhi ,2011,no,6547,Computer,7463,Alumini,2014,72,72,72,72,72,72,72,72
P5144140,Karishma ,2011,yes,7412,Computer,6547,Alumini,2014,70,70,70,70,70,70,70,70
P5144141,Shweta ,2011,yes,1478,Computer,7412,Alumini,2014,50,50,50,50,50,50,50,50
P5144142,Lokesh ,2011,no,7463,Computer,1478,Alumini,2014,70,70,70,70,70,70,70,70
P5144143,Lubna ,2011,yes,6547,Computer,7463,Alumini,2014,65,65,65,65,65,65,65,65
P5144144,Pritam ,2011,no,1234,Computer,6547,Alumini,2014,72,72,72,72,72,72,72,72
P5144145,Divya ,2011,yes,4567,Computer,1234,Alumini,2014,60,60,60,60,60,60,60,60
P5144146,Siddharth ,2011,no,1478,Computer,4567,Alumini,2014,65,65,65,65,65,65,65,65
P5144147,Abhishek ,2011,yes,7412,Computer,1478,Alumini,2014,70,70,70,70,70,70,70,70
P5144148,Shardul ,2011,no,1478,Computer,7412,Alumini,2014,70,70,70,70,70,70,70,70
P5144149,Priyanka ,2011,yes,7463,Computer,1478,Alumini,2014,65,65,65,65,65,65,65,65
P5144150,Shruti,2011,no,6547,Computer,7463,Alumini,2014,72,72,72,72,72,72,72,72
P5144151,Priyanka ,2011,yes,1234,Computer,6547,Alumini,2014,60,60,60,60,60,60,60,60
P5144152,Amit ,2011,yes,1478,Computer,1234,Alumini,2014,65,65,65,65,65,65,65,65
P5144153,Deepali ,2011,no,7463,Computer,1478,Alumini,2014,70,70,70,70,70,70,70,70
P5144154,Surabhi ,2011,yes,6547,Computer,7463,Alumini,2014,50,50,50,50,50,50,50,50
P5144155,Priyanka ,2011,no,1234,Computer,6547,Alumini,2014,70,70,70,70,70,70,70,70
P9154156,Madhura ,2012,yes,4567,Mechanical,1234,Alumini,2015,65,65,65,65,65,65,65,65
P9154157,Raghuveer ,2012,no,1478,Mechanical,4567,Alumini,2015,72,72,72,72,72,72,72,72
P9154158,Shubhankar ,2012,yes,7412,Mechanical,1478,Alumini,2015,70,70,70,70,70,70,70,70
P9154159,Shraddha ,2012,yes,1234,Mechanical,7412,Alumini,2015,50,50,50,50,50,50,50,50
P9154160,Abhishek ,2012,no,4567,Mechanical,1234,Alumini,2015,70,70,70,70,70,70,70,70
P9154161,Pranav ,2012,yes,1478,Mechanical,4567,Alumini,2015,65,65,65,65,65,65,65,65
P9154162,Sumit ,2012,no,7412,Mechanical,1478,Alumini,2015,72,72,72,72,72,72,72,72
P9154163,Rohan ,2012,yes,1478,Mechanical,7412,Alumini,2015,60,60,60,60,60,60,60,60
P9154164,Pramod ,2012,no,7463,Mechanical,1478,Alumini,2015,65,65,65,65,65,65,65,65
P9154165,Sanket ,2012,yes,6547,Mechanical,7463,Alumini,2015,70,70,70,70,70,70,70,70
P9154166,Amit ,2012,yes,1234,Mechanical,6547,Alumini,2015,72,72,72,72,72,72,72,72
P9154167,Chinmay ,2012,no,4567,Mechanical,1234,Alumini,2015,70,70,70,70,70,70,70,70
P9154168,Prashant ,2012,yes,1478,Mechanical,4567,Alumini,2015,50,50,50,50,50,50,50,50
P9154169,Sujal ,2012,no,7412,Mechanical,1478,Alumini,2015,70,70,70,70,70,70,70,70
P9154170,Aditya ,2012,yes,1478,Mechanical,7412,Alumini,2015,65,65,65,65,65,65,65,65
P9154171,Pushkaraj ,2012,no,7463,Electrical,1478,Alumini,2015,72,72,72,72,72,72,72,72
P8154172,Shrutika ,2012,yes,6547,Electrical,7463,Alumini,2015,60,60,60,60,60,60,60,60
P8154173,Yogesh ,2012,yes,1234,Electrical,6547,Alumini,2015,65,65,65,65,65,65,65,65
P8154174,Sumeet ,2012,no,4567,Electrical,1234,Alumini,2015,70,70,70,70,70,70,70,70
P8154175,Aliakbar ,2012,yes,1478,Electrical,4567,Alumini,2015,70,70,70,70,70,70,70,70
P8154176,Aakash ,2012,no,7412,Electrical,1478,Alumini,2015,65,65,65,65,65,65,65,65
P8154177,Shrinidhi ,2012,yes,1478,Electrical,7412,Alumini,2015,70,70,70,70,70,70,70,70
P8154178,Mayur ,2012,no,7463,Electrical,1478,Alumini,2015,72,72,72,72,72,72,72,72
P8154179,Vishal ,2012,yes,6547,Electrical,7463,Alumini,2015,70,70,70,70,70,70,70,70
P8154180,Krati ,2012,yes,1234,Electrical,6547,Alumini,2015,50,50,50,50,50,50,50,50
P8154181, Pooja ,2012,no,4567,Electrical,1234,Alumini,2015,70,70,70,70,70,70,70,70
P8154182,Siddhesh ,2012,yes,1478,Electrical,4567,Alumini,2015,65,65,65,65,65,65,65,65
P7154183,Deepika ,2012,no,7412,EnTC,1478,Alumini,2015,72,72,72,72,72,72,72,72
P7154184,Isha ,2012,yes,1478,EnTC,7412,Alumini,2015,60,60,60,60,60,60,60,60
P7154185,Maitreya ,2012,no,7463,EnTC,1478,Alumini,2015,65,65,65,65,65,65,65,65
P7154186,Surabhi ,2012,yes,6547,EnTC,7463,Alumini,2015,70,70,70,70,70,70,70,70
P7154187,Nikita ,2012,yes,7412,EnTC,6547,Alumini,2015,70,70,70,70,70,70,70,70
P6154188,Pranav ,2012,no,1478,IT,7412,Alumini,2015,70,70,70,70,70,70,70,70
P6154189,Sanket ,2012,yes,7463,IT,1478,Alumini,2015,65,65,65,65,65,65,65,65
P6154190,Ruchi ,2012,no,6547,IT,7463,Alumini,2015,72,72,72,72,72,72,72,72
P6154191,Sachin ,2012,yes,1234,IT,6547,Alumini,2015,60,60,60,60,60,60,60,60
P6154192,Sneha ,2012,no,4567,IT,1234,Alumini,2015,65,65,65,65,65,65,65,65
P5154193,Pranav ,2012,yes,1478,Computer,4567,Alumini,2015,70,70,70,70,70,70,70,70
P5154194,Aadesh ,2012,yes,7412,Computer,1478,Alumini,2015,70,70,70,70,70,70,70,70
P5154195,Rajesh ,2012,no,1478,Computer,7412,Alumini,2015,65,65,65,65,65,65,65,65
P9164196,Priyanka ,2013,yes,7463,Mechanical,1478,Alumini,2016,72,72,72,72,72,72,72,72
P9164197,Sagar ,2013,no,6547,Mechanical,7463,Alumini,2016,60,60,60,60,60,60,60,60
P9164198,Piyush ,2013,yes,1234,Mechanical,6547,Alumini,2016,65,65,65,65,65,65,65,65
P9164199,Nikhil ,2013,no,1478,Mechanical,1234,Alumini,2016,70,70,70,70,70,70,70,70
P9164200,Kartikeya ,2013,yes,7463,Mechanical,1478,Alumini,2016,50,50,50,50,50,50,50,50
P9164201,Saniya ,2013,yes,6547,Mechanical,7463,Alumini,2016,70,70,70,70,70,70,70,70
P9164202,Kuldeep ,2013,no,1234,Mechanical,6547,Alumini,2016,65,65,65,65,65,65,65,65
P9164203,Prasad ,2013,yes,4567,Mechanical,1234,Alumini,2016,72,72,72,72,72,72,72,72
P9164204,Shubham ,2013,no,1478,Mechanical,4567,Alumini,2016,70,70,70,70,70,70,70,70
P9164205,Shashank ,2013,yes,7412,Mechanical,1478,Alumini,2016,50,50,50,50,50,50,50,50
P9164206,Apeksha ,2013,no,1478,Mechanical,7412,Alumini,2016,70,70,70,70,70,70,70,70
P8164207,Priyanka ,2013,yes,7463,Electrical,1478,Alumini,2016,65,65,65,65,65,65,65,65
P8164208,Pallavi ,2013,yes,6547,Electrical,7463,Alumini,2016,72,72,72,72,72,72,72,72
P8164209,Vinayak ,2013,yes,1234,Electrical,6547,Alumini,2016,60,60,60,60,60,60,60,60
P8164210,Ankit ,2013,yes,4567,Electrical,1234,Alumini,2016,65,65,65,65,65,65,65,65
P8164211,Radhika ,2013,no,1478,Electrical,4567,Alumini,2016,70,70,70,70,70,70,70,70
P8164212,Saudamini ,2013,yes,7412,Electrical,1478,Alumini,2016,72,72,72,72,72,72,72,72
P8164213,Sayali ,2013,no,1478,Electrical,7412,Alumini,2016,70,70,70,70,70,70,70,70
P8164214,Mayuri ,2013,yes,7463,Electrical,1478,Alumini,2016,50,50,50,50,50,50,50,50
P7164215,Arpan ,2013,no,6547,EnTC,7463,Alumini,2016,70,70,70,70,70,70,70,70
P7164216,Ninad ,2013,yes,1234,EnTC,6547,Alumini,2016,65,65,65,65,65,65,65,65
P7164217,Vallabh ,2013,yes,4567,EnTC,1234,Alumini,2016,72,72,72,72,72,72,72,72
P7164218,Aboli ,2013,no,1478,EnTC,4567,Alumini,2016,60,60,60,60,60,60,60,60
P7164219,Shreyas ,2013,yes,7412,EnTC,1478,Alumini,2016,65,65,65,65,65,65,65,65
P7164220,Amey ,2013,no,1478,EnTC,7412,Alumini,2016,70,70,70,70,70,70,70,70
P7164221,Shubhankar ,2013,yes,7463,EnTC,1478,Alumini,2016,70,70,70,70,70,70,70,70
P7164222,Snehal ,2013,no,6547,EnTC,7463,Alumini,2016,65,65,65,65,65,65,65,65
P7164223,Anshuman ,2013,yes,7412,EnTC,6547,Alumini,2016,70,70,70,70,70,70,70,70
P7164224,Saurabh ,2013,no,1478,EnTC,7412,Alumini,2016,72,72,72,72,72,72,72,72
P7164225,Shrilekha ,2013,yes,7463,EnTC,1478,Alumini,2016,70,70,70,70,70,70,70,70
P7164226,Bhavna ,2013,no,6547,EnTC,7463,Alumini,2016,50,50,50,50,50,50,50,50
P6164227,Moiez ,2013,yes,1234,IT,6547,Alumini,2016,70,70,70,70,70,70,70,70
P6164228,Vishal ,2013,yes,4567,IT,1234,Alumini,2016,65,65,65,65,65,65,65,65
P6164229,Piyush ,2013,no,1478,IT,4567,Alumini,2016,72,72,72,72,72,72,72,72
P6164230,Prajakta ,2013,yes,7412,IT,1478,Alumini,2016,60,60,60,60,60,60,60,60
P6164231,Shweta ,2013,no,1478,IT,7412,Alumini,2016,65,65,65,65,65,65,65,65
P6164232,Saurabh ,2013,yes,7463,IT,1478,Alumini,2016,70,70,70,70,70,70,70,70
P6164233,Yogesh ,2013,no,6547,IT,7463,Alumini,2016,70,70,70,70,70,70,70,70
P6164234,Prasad ,2013,yes,1234,IT,6547,Alumini,2016,72,72,72,72,72,72,72,72
P5164235,Karan ,2013,yes,1478,Computer,1234,Alumini,2016,70,70,70,70,70,70,70,70
P5164236,Siddhi ,2013,no,7463,Computer,1478,Alumini,2016,50,50,50,50,50,50,50,50
P5164237,Vinayak ,2013,yes,6547,Computer,7463,Alumini,2016,70,70,70,70,70,70,70,70
P5164238,Shrinivas ,2013,no,1234,Computer,6547,Alumini,2016,65,65,65,65,65,65,65,65
P5164239,Pratik ,2013,yes,4567,Computer,1234,Alumini,2016,72,72,72,72,72,72,72,72
P5164240,Poonam ,2013,no,1478,Computer,4567,Alumini,2016,60,60,60,60,60,60,60,60
P5164233,Yash ,2013,yes,7412,Computer,1478,Alumini,2016,65,65,65,65,65,65,65,65
P5164233,Sharvari ,2013,yes,4567,Computer,7412,Alumini,2016,70,70,70,70,70,70,70,70
P5164233,Shantanu ,2013,no,1478,Computer,4567,Alumini,2016,70,70,70,70,70,70,70,70
P5164233,Mahesh ,2013,yes,6547,Computer,1478,Alumini,2016,65,65,65,65,65,65,65,65
