_id,password,fname,mname,lname,mother,state,address,gender,caste,nationality,bloodGroup,emailId,contact,dob,handicap,admcat
P914413,Nishant ,Nishant ,Isreal,Pandit,Distel,Jammu ,3059 Wood Valley Trl,female,Open,India,AB+,sdarfat77@gmail.com,,11/22/1994,yes,Cap
P914414, Tejas, Tejas,Danny,Patil,Spinning,Maharashtra,636 Twin Oak Blvd,female,Open,India,O+,karadpriyanka8@gmail.com,,7/14/1993,no,Cap
P914415, Omkar, Omkar,Royce,Vaishampayan,Naus,Maharashtra,2199 Baltes Ave,male,SC,India,A+,swati.lon@gmail.com,,1/15/1996,no,Cap
P914416,Kaustubh ,Kaustubh ,Barrett,Veer,Naimoli,Maharashtra,1407 Purdue Airport Ave,female,NT,India,B+,summitjoshi@gmail.com,,3/24/1994,no,Management
P914417,Heramb ,Heramb ,Damon,Karnataki,Golomb,Maharashtra,6197 Owen Hall Ln,female,SC,India,AB+,umeshpedhe@gmail.com,,9/19/1994,yes,Cap
P914418,Sachin ,Sachin ,Marlon, Kelkar,Hebbe,Maharashtra,9914 Olympia Blvd,male,SC,India,O+,supriya.bagal7@gmail.com,,8/3/1994,no,Management
P914419, Nikhil, Nikhil,Jesse,Shinde,Iwen,Maharashtra,8821 Scenic Ct,female,NT,India,A+,umeshpedhe@gmail.com,,3/9/1995,no,Cap
P914420,Himanshu ,Himanshu ,Josiah,Londhe,Corron,Jammu ,3273 Kerrway Ave,male,SC,India,B+,supriya.bagal7@gmail.com,,5/18/1994,yes,Management
P914421,Vivek ,Vivek ,Dustin,Thorve,Macmillen,Maharashtra,8730 Leatherwood Rd,female,NT,India,AB+,sdarfat77@gmail.com,,10/22/1995,no,Cap
P914422,Akshay ,Akshay ,Joaquin,Joshi,Walfish,Maharashtra,2099 Monte Cielo Rd,male,SC,India,O+,karadpriyanka8@gmail.com,,8/12/1993,yes,Cap
P914423,Siddharth ,Siddharth ,Ivan,Desai,Bikel,Maharashtra,743 Hartford St,female,NT,India,A+,swati.lon@gmail.com,,4/13/1994,no,Cap
P914424,Aniket ,Aniket ,Hollis,Kenjale,Shelby,Maharashtra,9226 Kelly St,male,Open,India,B+,summitjoshi@gmail.com,,6/1/1994,no,Cap
P914425,Sarang ,Sarang ,Jae,Holay,Kaneakua,Maharashtra,9938 Charter Oak St,male,Open,India,AB+,sdarfat77@gmail.com,,7/1/1995,yes,Cap
P914426,Ajinkya ,Ajinkya ,Denny,Kulkarni,Kong,Maharashtra,10785 Kingston Trl,male,SC,India,O+,karadpriyanka8@gmail.com,,5/14/1995,no,Cap
P914427,Darshan ,Darshan ,Lon,Deshmukh,Milana,Jammu ,1572 Roosevelt Trl,female,NT,India,A+,sdarfat77@gmail.com,,7/9/1995,no,Cap
P914428,Santosh ,Santosh ,Francis,Suravase,Stombaugh,Maharashtra,5363 875 Trl,male,SC,India,B+,karadpriyanka8@gmail.com,,1/7/1995,no,Cap
P914429,Harshal ,Harshal ,Mohammed,Bhadane,Kalet,Maharashtra,4764 Duncan St,female,SC,India,AB+,swati.lon@gmail.com,,2/18/1995,yes,Cap
P914430,Pradeep ,Pradeep ,Erin,Tongale,Graca,Maharashtra,8500 Harris Meadow Trl,male,NT,India,O+,summitjoshi@gmail.com,,4/24/1995,no,Management
P914431,Ajay ,Ajay ,Barry,Dhavane,Scaduto,Maharashtra,5483 Dalgren Rd,female,SC,India,A+,umeshpedhe@gmail.com,,1/16/1993,no,Cap
P914432,Tejas ,Tejas ,Vernon,Ranjekar,Amodei,Maharashtra,4478 Vail St,female,NT,India,B+,supriya.bagal7@gmail.com,,11/17/1992,yes,Management
P914433,Mohit ,Mohit ,Donald,Waskar,Bossert,Maharashtra,2644 Orchard Blvd,male,SC,India,AB+,umeshpedhe@gmail.com,,3/25/1993,no,Cap
P914434,Tejas ,Tejas ,Whitney,Nimbalkar,Jermann,Jammu ,4629 Stowell Rd,female,NT,Other,O+,supriya.bagal7@gmail.com,,12/15/1998,yes,Management
P814435,Shreya ,Shreya ,Solomon,Athavale,Randi,Rajasthan,6150 Trooper Ave,male,Open,India,A+,umeshpedhe@gmail.com,,6/13/1999,no,Cap
P814436,Meenal ,Meenal ,Monty,Dhanawade,Stoyle,Maharashtra,10721 Franke Park Ave,female,Open,India,AB+,supriya.bagal7@gmail.com,,9/23/1995,no,Management
P814437,Deepika ,Deepika ,Lamont,Raghani,Oest,Maharashtra,7958 Douglas Ct,male,SC,India,B+,sdarfat77@gmail.com,,12/27/1993,yes,Cap
P814438,Tejashree ,Tejashree ,Elvis,Chaudhari,Fanaro,Maharashtra,338 400 Ave,female,NT,India,AB+,karadpriyanka8@gmail.com,,10/7/1994,no,Management
P814439,Saurabh ,Saurabh ,Sterling,Vibhandik,Chipman,Maharashtra,6614 Trace 11 Ave,male,SC,India,O+,swati.lon@gmail.com,,11/9/1995,yes,Cap
P814440,Akash ,Akash ,Sammy,Patil,Gipe,Maharashtra,9891 Mount Sinyala Crossover Trl,male,SC,India,A+,summitjoshi@gmail.com,,8/13/1998,no,Cap
P814441,Ashwini ,Ashwini ,Antwan,Darekar,Jeglum,Jammu ,9256 Clover St,female,NT,India,B+,sdarfat77@gmail.com,,11/23/1994,no,Cap
P814442,Vikas ,Vikas ,Chas,Jadhav,Nedley,Maharashtra,6343 Cross Ln,female,SC,India,AB+,karadpriyanka8@gmail.com,,12/13/1995,yes,Cap
P814443,Nipun ,Nipun ,Rudolf,Agarwal,Manchanda,Maharashtra,8317 120th Trl,male,NT,Other,O+,swati.lon@gmail.com,,10/1/1994,no,Cap
P814444,Mukta ,Mukta ,Ernie,Gogate,Zweifel,Maharashtra,5559 Arizona Ave,male,SC,India,A+,summitjoshi@gmail.com,,3/16/1992,no,Cap
P814445,Rashmi ,Rashmi ,Britt,Patil,Szoszorek,Maharashtra,7215 Nottingham Ave,male,NT,India,A+,umeshpedhe@gmail.com,,9/18/1999,no,Cap
P814446,Supriya ,Supriya ,Dewey,Nene,Gideon,Maharashtra,2817 Ralph Blvd,female,Open,India,AB+,supriya.bagal7@gmail.com,,4/26/1993,no,Cap
P814447,Ashish ,Ashish ,Brian,Nilangekar,Platis,Maharashtra,2854 Fingerboard Ct,female,Open,India,B+,umeshpedhe@gmail.com,,9/3/1994,yes,Cap
P814448,Anish ,Anish ,Andrew,Talathi,Gallichio,Jammu ,5707 Garretson Ln,female,Open,India,AB+,supriya.bagal7@gmail.com,,6/24/1995,no,Cap
P814449,Sandeep ,Sandeep ,Lincoln,Baisani,Mondt,Maharashtra,6350 Vigo Ct,male,SC,India,O+,umeshpedhe@gmail.com,,1/5/1991,no,Cap
P814450,Pawan ,Pawan ,Harry,Bhanwase,Ridner,Rajasthan,2339 Basilica Ave,male,NT,India,A+,supriya.bagal7@gmail.com,,6/27/1993,yes,Cap
P814451,Bhushan,Bhushan,Boyce, Dewar,Doheny,Maharashtra,10648 Quinn Blvd,female,SC,India,B+,sdarfat77@gmail.com,,6/3/1995,no,Cap
P814452,Pranav ,Pranav ,Boyce,Tulpule,Trussell,Maharashtra,5823 Rosco Blvd,male,SC,India,AB+,karadpriyanka8@gmail.com,,1/7/1991,yes,Cap
P814453,Vishal ,Vishal ,Norris,Mhasawade,Ondarza,Maharashtra,3492 Wandel Trl,female,NT,India,O+,swati.lon@gmail.com,,1/27/1995,no,Management
P814454,Ashutosh ,Ashutosh ,Ricardo,Badave,Hohl,Maharashtra,4188 Moorgate Ave,male,SC,India,A+,summitjoshi@gmail.com,,6/2/1991,no,Cap
P714455,Meghadoot ,Meghadoot ,Timothy,Gardi,Siegworth,Jammu ,5270 Wallace Rd,male,NT,India,AB+,sdarfat77@gmail.com,,11/25/1994,yes,Management
P714456,Ajinkya ,Ajinkya ,Jordan,Chouthai,Zabarsky,Maharashtra,3366 Alderwood Ct,male,SC,Other,B+,karadpriyanka8@gmail.com,,12/2/1995,no,Cap
P714457,Aditi,Aditi,Alton, Hilekar,Nesselroad,Maharashtra,857 900 Blvd,male,NT,India,AB+,sdarfat77@gmail.com,,11/21/1994,yes,Management
P714458,Snehal,Snehal,Brenton, Lalwani,Prior,Maharashtra,10523 Mcclure Ct,male,Open,India,O+,karadpriyanka8@gmail.com,,12/8/1994,no,admcat
P714459,Madhuri ,Madhuri ,Garry,Desai,Gallagher,Maharashtra,4470 Amesbury Blvd,female,Open,India,A+,swati.lon@gmail.com,,1/7/1994,no,Cap
P714460,Abhijit ,Abhijit ,Cesar,Tawar,Malbone,Maharashtra,9156 Booker T Washington St,male,SC,Other,A+,summitjoshi@gmail.com,,9/14/1993,no,Management
P714461,Saurabh,Saurabh,Gordon, Muley,Suchy,Maharashtra,4644 Douglas Ct,female,NT,India,B+,umeshpedhe@gmail.com,,7/12/1994,yes,Cap
P714462,Jaideep ,Jaideep ,Jerry,Mehendle,Mikolajczak,Jammu ,4891 Moss Hill St,female,SC,India,AB+,supriya.bagal7@gmail.com,,1/1/1995,no,Management
P714463,Shreya,Shreya,Harold, Deodhar,Rary,Maharashtra,1584 Man O War Trl,female,NT,India,O+,umeshpedhe@gmail.com,,10/4/1995,yes,Cap
P714464,Viju ,Viju ,Toney,Pavithran,Troell,Rajasthan,10178 Sumac Ct,male,Open,India,A+,supriya.bagal7@gmail.com,,12/4/1995,no,Cap
P714465,Nishant ,Nishant ,Steve,Pavaskar,Stuit,Maharashtra,1402 Lucie Ann Ave,female,Open,India,AB+,umeshpedhe@gmail.com,,1/27/1993,no,Cap
P714466,Pranav ,Pranav ,Thomas,Pathak,Schirado,Maharashtra,7751 Barnhart Ave,female,SC,India,B+,summitjoshi@gmail.com,,1/31/1993,yes,Cap
P714467,Bhushan ,Bhushan ,Stephen,Muthiyan,Woerner,Maharashtra,7693 135th Trl,male,NT,Other,AB+,sdarfat77@gmail.com,,5/2/1999,no,Management
P714468,Pinakin ,Pinakin ,Jasper,Pinakin ,Laschober,Maharashtra,6765 Carlisle Rd,female,SC,India,B+,karadpriyanka8@gmail.com,,3/30/1995,no,Cap
P714469,abhishek ,abhishek ,Graig,Prabhudesai,Khammanivong,Jammu ,10739 Knoll Crest Ct,female,SC,Other,AB+,swati.lon@gmail.com,,9/10/1994,no,Management
P714470,Shweta ,Shweta ,Marvin,Vetal,Mcclard,Maharashtra,3803 300 St,male,NT,India,O+,summitjoshi@gmail.com,,2/18/1994,yes,Cap
P714471,shreya ,shreya ,Francisco,Josh,Sayko,Maharashtra,1131 Valmori Blvd,male,SC,India,A+,umeshpedhe@gmail.com,,4/3/1993,no,Cap
P714472,Rathin ,Rathin ,Cletus,Karhu,Bucheit,Maharashtra,1317 Easton Ave,female,NT,India,AB+,supriya.bagal7@gmail.com,,2/13/1995,no,Cap
P714473,Anuja ,Anuja ,Chauncey,Jagtap,Bellizzi,Maharashtra,1827 Davis Rd,female,NT,India,B+,umeshpedhe@gmail.com,,1/1/1995,yes,Management
P714474,Aboli ,Aboli ,Tracey,Bhise,Maira,Maharashtra,350 Trace 22 Ct,male,SC,India,AB+,supriya.bagal7@gmail.com,,4/21/1995,no,Cap
P714475,Komal,Komal,Jan, Gaikwad,Dishler,Maharashtra,7598 Elizabeth Ave,male,SC,Other,O+,umeshpedhe@gmail.com,,3/28/1994,yes,Management
P714476,Prachi ,Prachi ,Hobert,Bhalerao,Goldfarb,Jammu ,2139 Horizon Rd,male,NT,India,A+,supriya.bagal7@gmail.com,,7/26/1995,no,Cap
P714477,Jayesh ,Jayesh ,Julian,Jahagirdar,Wehrer,Maharashtra,5799 Hailstorm Ln,female,SC,India,B+,sdarfat77@gmail.com,,3/16/1994,no,Cap
P714478,Swapnil,Swapnil,Adolph, Desai,Beights,Maharashtra,2235 Irving Trl,male,NT,India,O+,karadpriyanka8@gmail.com,,8/8/1995,yes,Cap
P714479,Bhushan ,Bhushan ,Rhett,Patil,Luning,Rajasthan,6440 Vick Trl,male,SC,India,A+,umeshpedhe@gmail.com,,3/21/1995,no,Management
P714480,Bhushan ,Bhushan ,Monte,Dhamale,Bergo,Maharashtra,4202 Metcalfe Rd,male,NT,Other,A+,supriya.bagal7@gmail.com,,12/1/1993,no,Cap
P714481,Priyanka ,Priyanka ,Raymon,Zadge,Volzer,Maharashtra,2088 General Delivery Ln,male,Open,India,B+,umeshpedhe@gmail.com,,11/27/1993,yes,Management
P714482,Bhavin ,Bhavin ,Roland,Shah,Sauvain,Maharashtra,9201 Townsend Ln,male,Open,India,AB+,supriya.bagal7@gmail.com,,4/29/1995,no,Cap
P714483,Anuja ,Anuja ,Jefferey,Shirsat,Nordan,Jammu ,10831 Leewood Ln,female,SC,India,O+,umeshpedhe@gmail.com,,1/14/1993,no,Cap
P714484,Pranav ,Pranav ,Stevie,Nawathe,Tuna,Maharashtra,4538 Reiss St,male,NT,India,A+,summitjoshi@gmail.com,,12/6/1995,no,Cap
P714485,Ruchika ,Ruchika ,Isidro,Satalkar,Famble,Maharashtra,8275 Knoll Crest Trl,female,SC,India,AB+,sdarfat77@gmail.com,,10/26/1994,no,Management
P714486,Harsha ,Harsha ,Cornelius,Lunawat,Norgren,Maharashtra,8794 Carmel St,male,SC,India,O+,karadpriyanka8@gmail.com,,12/13/1993,yes,Cap
P714487,Nikhil ,Nikhil ,Olen,Koul,Bielich,Maharashtra,6733 Clinton Blvd,female,NT,India,A+,swati.lon@gmail.com,,11/24/1995,no,Management
P714488,Soham ,Soham ,Oswaldo,kulkarni,Podsiadlik,Maharashtra,5404 Hitching Post Trl,male,Open,India,A+,summitjoshi@gmail.com,,11/5/1993,no,Cap
P714489,Rajesh ,Rajesh ,Ezra,Patil,Loosbrock,Maharashtra,967 Sheraton Ln,male,Open,India,B+,umeshpedhe@gmail.com,,6/3/1993,yes,Cap
P714490,Akash Jagtap,Akash Jagtap,Russ,Jagtap,Barlass,Jammu ,5615 Southworth Branch Rd,male,SC,India,AB+,supriya.bagal7@gmail.com,,9/13/1993,no,Cap
P714491,Nutan ,Nutan ,Jackie,Gangapure,Hafertepe,Maharashtra,7117 Romer Ln,male,NT,India,O+,umeshpedhe@gmail.com,,7/22/1993,yes,Management
P714492,Prachi ,Prachi ,Cesar,Agarwal,Filan,Maharashtra,2832 Glen Eagles Ct,male,SC,India,A+,supriya.bagal7@gmail.com,,6/3/1993,no,Cap
P714493,Swarali ,Swarali ,Chet,Kulkarni,Poplar,Maharashtra,7209 Essex Ave,male,SC,Other,AB+,umeshpedhe@gmail.com,,2/18/1993,no,Management
P714494,Aniket ,Aniket ,Gaston,Bansode,Cooch,Maharashtra,6665 Us Highway 231 Ln,female,NT,India,B+,summitjoshi@gmail.com,,3/19/1993,yes,Cap
P714495,Shrikant ,Shrikant ,Jesse,Patil,Dais,Maharashtra,240 Penn Rd,male,SC,India,AB+,sdarfat77@gmail.com,,8/11/1993,no,Cap
P714496,Ashutosh ,Ashutosh ,Millard,Gupta,Giorgis,Maharashtra,8473 Marion Trl,female,NT,India,O+,karadpriyanka8@gmail.com,,12/30/1995,yes,Cap
P714497,Ajinkya ,Ajinkya ,Emile,Gorhe,Clayton,Jammu ,10610 Browning Blvd,male,NT,India,A+,swati.lon@gmail.com,,7/19/1994,no,Management
P714498,Manjiri ,Manjiri ,Warner,Kulkarni,Bechara,Maharashtra,4 Westbrook Trl,male,SC,Other,AB+,summitjoshi@gmail.com,,3/6/1993,no,Cap
P714499,Abhishek,Abhishek,Marvin, Newaskar,Terreault,Maharashtra,9860 Geller Rd,male,SC,India,B+,umeshpedhe@gmail.com,,2/9/1993,no,Cap
P7144100,Yogesh ,Yogesh ,Ashley,Kumbhar,Mohsin,Maharashtra,2070 Allen St,female,NT,India,AB+,supriya.bagal7@gmail.com,,10/11/1994,yes,Cap
P7144101,Aditya ,Aditya ,Nick,Warty,Utsman,Maharashtra,4884 Scotswolde Blvd,male,Open,India,B+,mohitssj10@gmail.com,,10/9/1994,no,Cap
P7144102,Shrikant,Shrikant,Chuck, Adhav,Cornetta,Maharashtra,7351 Albright Ave,male,OBC,India,AB+,supriya.bagal7@gmail.com,,9/3/1993,yes,Management
P7144103,Sarang ,Sarang ,Barrett,Chousalkar,Zelms,Maharashtra,2740 Senior Rd,female,SC,India,O+,sdarfat77@gmail.com,,12/7/1995,no,Cap
P7144104,Abhijeet ,Abhijeet ,Raymond,Tengale,Mcbrien,Maharashtra,6998 Peachleaf Blvd,female,NT,India,A+,karadpriyanka8@gmail.com,,6/30/1994,yes,Management
P7144105,Swarali ,Swarali ,Gilberto,Kulkarni,Kirson,Maharashtra,7356 Albright Blvd,female,Open,India,B-,swati.lon@gmail.com,,9/28/1995,no,Cap
P7144106,Neelam ,Neelam ,Joey,Jadhav,Koebel,Jammu ,4892 Neil Armstrong St,male,Open,India,O-,summitjoshi@gmail.com,,11/1/1995,no,Cap
P6144107,Swapnil ,Swapnil ,Ervin,Raut,Zei,Maharashtra,2298 Curwood Trl,male,SC,India,AB+,umeshpedhe@gmail.com,,12/14/1994,no,Cap
P6144108,Omkar ,Omkar ,Chase,Joshi,Khurana,Maharashtra,10606 Westwood Ln,female,NT,India,B+,supriya.bagal7@gmail.com,,6/22/1997,yes,Management
P6144109,Shriya ,Shriya ,Zachery,Hardikar,Radis,Maharashtra,1455 Sylvania Rd,female,SC,India,AB+,sdarfat77@gmail.com,,12/21/1993,no,Cap
P6144110,Kajal ,Kajal ,Sonny,Doshi,Disarro,Rajasthan,6193 Lake Glen Trl,female,NT,India,O+,karadpriyanka8@gmail.com,,8/10/1994,yes,Management
P6144111,Loukik ,Loukik ,Michale,Bhandari,Belinda,Maharashtra,6784 Cromwell Ct,male,SC,India,A+,swati.lon@gmail.com,,10/7/1994,no,Cap
P6144112,Akshay ,Akshay ,Nathaniel,Potnis,Bulling,Maharashtra,1316 Cielo Blvd,male,NT,India,B+,summitjoshi@gmail.com,,4/1/1993,no,Cap
P6144113,Chinmay ,Chinmay ,Isreal,Jaiswal,Distel,Jammu ,3059 Wood Valley Trl,female,Open,India,AB+,sdarfat77@gmail.com,,11/22/1994,yes,Cap
P6144114,Hemant ,Hemant ,Danny,Choudhari,Spinning,Maharashtra,636 Twin Oak Blvd,female,Open,India,O+,karadpriyanka8@gmail.com,,7/14/1993,no,Cap
P6144115,Arundhati ,Arundhati ,Royce,Deshpande,Naus,Maharashtra,2199 Baltes Ave,male,SC,India,A+,swati.lon@gmail.com,,1/15/1996,no,Cap
P6144116,Ashish ,Ashish ,Barrett,Ramani,Naimoli,Maharashtra,1407 Purdue Airport Ave,female,NT,India,B+,summitjoshi@gmail.com,,3/24/1994,no,Management
P6144117,Shweta ,Shweta ,Damon,Pardeshi,Golomb,Maharashtra,6197 Owen Hall Ln,female,SC,India,AB+,umeshpedhe@gmail.com,,9/19/1994,yes,Cap
P6144118,Namratha ,Namratha ,Marlon,Jadhav,Hebbe,Maharashtra,9914 Olympia Blvd,male,SC,India,O+,supriya.bagal7@gmail.com,,8/3/1994,no,Management
P6144119,Mahesh ,Mahesh ,Jesse,Gaikwad,Iwen,Maharashtra,8821 Scenic Ct,female,NT,India,A+,umeshpedhe@gmail.com,,3/9/1995,no,Cap
P6144120,Shivani ,Shivani ,Josiah,Deshpande,Corron,Jammu ,3273 Kerrway Ave,male,SC,India,B+,supriya.bagal7@gmail.com,,5/18/1994,yes,Management
P6144121,Sneha,Sneha,Dustin, Patil,Macmillen,Maharashtra,8730 Leatherwood Rd,female,NT,India,AB+,sdarfat77@gmail.com,,10/22/1995,no,Cap
P6144122,Harshada ,Harshada ,Joaquin,Inamdar,Walfish,Maharashtra,2099 Monte Cielo Rd,male,SC,India,O+,karadpriyanka8@gmail.com,,8/12/1993,yes,Cap
P6144123,Shivraj ,Shivraj ,Ivan,Gawde,Bikel,Maharashtra,743 Hartford St,female,NT,India,A+,swati.lon@gmail.com,,4/13/1994,no,Cap
P6144124,Sumedh ,Sumedh ,Hollis,Deshmukh,Shelby,Maharashtra,9226 Kelly St,male,Open,India,B+,summitjoshi@gmail.com,,6/1/1994,no,Cap
P6144125,Aarohi ,Aarohi ,Jae,Kulkarni,Kaneakua,Maharashtra,9938 Charter Oak St,male,Open,India,AB+,sdarfat77@gmail.com,,7/1/1995,yes,Cap
P6144126,Amruta ,Amruta ,Denny,Padre,Kong,Maharashtra,10785 Kingston Trl,male,SC,India,O+,karadpriyanka8@gmail.com,,5/14/1995,no,Cap
P6144127,Sana ,Sana ,Lon,Sayyad,Milana,Jammu ,1572 Roosevelt Trl,female,NT,India,A+,sdarfat77@gmail.com,,7/9/1995,no,Cap
P6144128,Arvind,Arvind,Francis, Bhat,Stombaugh,Maharashtra,5363 875 Trl,male,SC,India,B+,karadpriyanka8@gmail.com,,1/7/1995,no,Cap
P6144129,Rutuja ,Rutuja ,Mohammed,Raskar,Kalet,Maharashtra,4764 Duncan St,female,SC,India,AB+,swati.lon@gmail.com,,2/18/1995,yes,Cap
P6144130,Shruti ,Shruti ,Erin,Mantri,Graca,Maharashtra,8500 Harris Meadow Trl,male,NT,India,O+,summitjoshi@gmail.com,,4/24/1995,no,Management
P5144131,Raunak ,Raunak ,Barry,Sabhani,Scaduto,Maharashtra,5483 Dalgren Rd,female,SC,India,A+,umeshpedhe@gmail.com,,1/16/1993,no,Cap
P5144132,Parag ,Parag ,Vernon,Dakle,Amodei,Maharashtra,4478 Vail St,female,NT,India,B+,supriya.bagal7@gmail.com,,11/17/1992,yes,Management
P5144133,Apurva ,Apurva ,Donald,Bakshi,Bossert,Maharashtra,2644 Orchard Blvd,male,SC,India,AB+,umeshpedhe@gmail.com,,3/25/1993,no,Cap
P5144134,Madhavi ,Madhavi ,Whitney,Shinde,Jermann,Jammu ,4629 Stowell Rd,female,NT,Other,O+,supriya.bagal7@gmail.com,,12/15/1998,yes,Management
P5144135,Pooja ,Pooja ,Solomon,Gosavi,Randi,Rajasthan,6150 Trooper Ave,male,Open,India,A+,umeshpedhe@gmail.com,,6/13/1999,no,Cap
P5144136,Ruchi ,Ruchi ,Monty,Birla,Stoyle,Maharashtra,10721 Franke Park Ave,female,Open,India,AB+,supriya.bagal7@gmail.com,,9/23/1995,no,Management
P5144137,Sanjyot ,Sanjyot ,Lamont,Bandal,Oest,Maharashtra,7958 Douglas Ct,male,SC,India,B+,sdarfat77@gmail.com,,12/27/1993,yes,Cap
P5144138,Anuja ,Anuja ,Elvis,Asalkar,Fanaro,Maharashtra,338 400 Ave,female,NT,India,AB+,karadpriyanka8@gmail.com,,10/7/1994,no,Management
P5144139,Surbhi ,Surbhi ,Sterling,Yengalwar,Chipman,Maharashtra,6614 Trace 11 Ave,male,SC,India,O+,swati.lon@gmail.com,,11/9/1995,yes,Cap
P5144140,Karishma ,Karishma ,Sammy,Ghiya,Gipe,Maharashtra,9891 Mount Sinyala Crossover Trl,male,SC,India,A+,summitjoshi@gmail.com,,8/13/1998,no,Cap
P5144141,Shweta ,Shweta ,Antwan,Tulshibagwale,Jeglum,Jammu ,9256 Clover St,female,NT,India,B+,sdarfat77@gmail.com,,11/23/1994,no,Cap
P5144142,Lokesh ,Lokesh ,Chas,Mandesa,Nedley,Maharashtra,6343 Cross Ln,female,SC,India,AB+,karadpriyanka8@gmail.com,,12/13/1995,yes,Cap
P5144143,Lubna ,Lubna ,Rudolf,Shaikh,Manchanda,Maharashtra,8317 120th Trl,male,NT,Other,O+,swati.lon@gmail.com,,10/1/1994,no,Cap
P5144144,Pritam ,Pritam ,Ernie,Rathi,Zweifel,Maharashtra,5559 Arizona Ave,male,SC,India,A+,summitjoshi@gmail.com,,3/16/1992,no,Cap
P5144145,Divya ,Divya ,Britt,Parekh,Szoszorek,Maharashtra,7215 Nottingham Ave,male,NT,India,A+,umeshpedhe@gmail.com,,9/18/1999,no,Cap
P5144146,Siddharth ,Siddharth ,Dewey,Mishra,Gideon,Maharashtra,2817 Ralph Blvd,female,Open,India,AB+,supriya.bagal7@gmail.com,,4/26/1993,no,Cap
